ID,时间,分类,类型,金额,币种,账户1,账户2,备注,已报销,关联账单
qj164430854466912982,2022/2/8 16:22,收红包,收入,900,CNY,邮政储蓄,,,,
qj164431431700113361,2022/2/8 17:58,其它,支出,13,CNY,微信,,脸盆*2,,
qj164438836750415461,2022/2/9 14:32,零食,支出,17,CNY,微信,,,,
qj164439884077113109,2022/2/9 17:27,其它,收入,100,CNY,微信,,B给的买东西,,
qj164439885014716720,2022/2/9 17:27,其它,支出,55,CNY,微信,,买砧板，3个刷子,,
qj164448426541912763,2022/2/10 17:10,其它,支出,10,CNY,微信,,软管,,
qj164448428647210756,2022/2/10 17:11,其它,支出,8,CNY,微信,,磁吸4,,
qj164448435074218120,2022/2/10 17:12,衣服鞋,支出,129,CNY,微信,,优衣库，摇粒绒拉链夹克,,
qj164474866603219458,2022/2/13 18:37,其它,收入,100,CNY,微信,,买垃圾袋,,
qj164474869313215523,2022/2/13 18:38,其它,支出,14.1,CNY,支付宝,,9.9，4.2的垃圾袋,,
qj164482493228411674,2022/2/14 15:48,医疗,支出,32.66,CNY,微信,,归湖测核酸,,
qj164482497465618232,2022/2/14 15:49,理发,支出,15,CNY,微信,,细妙,,
qj164482498436514510,2022/2/14 15:49,收红包,收入,200,CNY,邮政储蓄,,,,
qj164483764665215413,2022/2/14 19:20,日用品,支出,80,CNY,微信,,4*纸巾(8包一袋),,
qj164483769894214280,2022/2/14 19:21,日用品,支出,13,CNY,微信,,1方纸巾,,
qj164483771243214578,2022/2/14 19:21,交通,支出,113,CNY,微信,,高铁票D7331,,
qj164484333250511171,2022/2/14 20:55,其它,收入,100,CNY,微信,,纸巾报销,,
qj164489420994217142,2022/2/15 11:02,其它,支出,24,CNY,支付宝,,菲住会员,,
qj164493278962114475,2022/2/15 21:46,三餐,支出,69,CNY,微信,,阿超，后瑞江南本家,,
qj164493280296815923,2022/2/15 21:46,零食,支出,3,CNY,微信,,,,
qj164493282539011677,2022/2/15 21:47,住房,支出,1000,CNY,邮政储蓄,,房租(下个月给的是这个月住多少付多少),,
qj164493284516413059,2022/2/15 21:47,住房,支出,1080,CNY,邮政储蓄,,租房和钥匙门卡的押金,,
qj164493296662315584,2022/2/15 21:49,交通,支出,7,CNY,微信,,地铁,,
qj164498244116217939,2022/2/15 21:49,其它,支出,92.92,CNY,支付宝,,酒店,,
qj164498258909316779,2022/2/16 11:36,其它,转账,1001,CNY,支付宝,招商储蓄,,,
qj164498260601216204,2022/2/16 11:36,其它,转账,0.01,CNY,招商储蓄,微信,,,
qj164498284787212343,2022/2/16 11:40,利息,收入,1.29,CNY,支付宝,,累计收益182.37,,
qj164498292812912205,2022/2/16 11:42,利息,收入,0.04,CNY,微信,,累计收益73.98,,
qj164498304494718555,2022/2/16 11:44,交通,支出,0.3,CNY,邮政储蓄,,云闪付公交地铁周卡,,
qj164498306594413792,2022/2/16 11:44,交通,支出,4,CNY,邮政储蓄,,后瑞-新安,,
qj164498307771510428,2022/2/16 11:44,交通,支出,1.08,CNY,邮政储蓄,,公交,,
qj164498309119718459,2022/2/16 11:44,医疗,支出,174.9,CNY,邮政储蓄,,体检,,
qj164498423259816462,2022/2/16 12:03,三餐,支出,20,CNY,微信,,,,
qj164499696901312586,2022/2/16 15:36,三餐,支出,9.9,CNY,微信,,,,
qj164499698161117578,2022/2/16 15:36,零食,支出,4,CNY,微信,,,,
qj164500119272111636,2022/2/16 16:46,交通,支出,0.02,CNY,邮政储蓄,,,,
qj164502136109819968,2022/2/16 22:22,电器数码,支出,26.8,CNY,支付宝,,热水壶,,
qj164502137454714909,2022/2/16 22:22,其它,收入,500,CNY,微信,,B给的买被子,,
qj164502231938813060,2022/2/16 22:38,日用品,支出,162.7,CNY,邮政储蓄,,,,
qj164502232882919851,2022/2/16 22:38,日用品,支出,39,CNY,微信,,,,
qj164502235745211467,2022/2/16 22:39,日用品,支出,134.7,CNY,微信,,被子加垃圾桶,,
qj164502244327611098,2022/2/16 22:40,其它,支出,2,CNY,微信,,打印,,
qj164502256633517428,2022/2/16 22:42,交通,支出,4.5,CNY,邮政储蓄,,,,
qj164502314737110300,2022/2/16 22:52,三餐,支出,18,CNY,微信,,,,
qj164502403774812159,2022/2/16 23:07,电器数码,支出,24.8,CNY,支付宝,,路由器,,
qj164505591684119968,2022/2/17 7:58,三餐,支出,3.5,CNY,微信,,,,
qj164505875014515300,2022/2/17 8:45,话费网费,支出,30,CNY,微信,,,,
qj164505885618713116,2022/2/17 8:47,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164507103148217129,2022/2/17 12:10,三餐,支出,16,CNY,微信,,,,
qj164509757316117507,2022/2/17 19:32,交通,支出,6,CNY,微信,,,,
qj164509757558411987,2022/2/17 19:32,三餐,支出,3.5,CNY,微信,,,,
qj164509757871616178,2022/2/17 19:32,三餐,支出,15,CNY,微信,,,,
qj164514287421415488,2022/2/18 8:07,三餐,支出,5,CNY,微信,,,,
qj164515349646116610,2022/2/18 11:04,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164515774283118737,2022/2/18 12:15,三餐,支出,18,CNY,微信,,,,
qj164518517408513855,2022/2/18 19:52,三餐,支出,13,CNY,微信,,,,
qj164518517740214928,2022/2/18 19:52,零食,支出,4,CNY,微信,,,,
qj164518518426419298,2022/2/18 19:53,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164518518614817969,2022/2/18 19:53,三餐,支出,15,CNY,微信,,,,
qj164519119995319975,2022/2/18 21:33,话费网费,支出,80,CNY,微信,,宽带,,
qj164525694479615523,2022/2/19 15:49,三餐,支出,5,CNY,微信,,,,
qj164525694789916574,2022/2/19 15:49,三餐,支出,15,CNY,微信,,,,
qj164528134994813872,2022/2/19 22:35,其它,支出,13.75,CNY,支付宝,,菜刀加粘板加刨,,
qj164528136780011124,2022/2/19 22:36,其它,支出,10.9,CNY,支付宝,,调料瓶,,
qj164528138198317573,2022/2/19 22:36,其它,支出,55.9,CNY,支付宝,,电饭煲,,
qj164528140031818144,2022/2/19 22:36,其它,支出,169,CNY,支付宝,,电磁炉,,
qj164528144542211816,2022/2/19 22:37,利息,收入,0.06,CNY,支付宝,,,,
qj164528147722115447,2022/2/19 22:37,三餐,支出,12,CNY,微信,,,,
qj164528148567618482,2022/2/19 22:38,利息,收入,0.01,CNY,微信,,,,
qj164545460679012340,2022/2/20 22:43,三餐,支出,10,CNY,微信,,,,
qj164545460834710630,2022/2/20 22:43,三餐,支出,12,CNY,微信,,,,
qj164540546533119057,2022/2/21 9:04,三餐,支出,3,CNY,微信,,,,
qj164540547122811506,2022/2/21 9:04,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164541695358415010,2022/2/21 12:15,三餐,支出,16,CNY,微信,,,,
qj164545437807614958,2022/2/21 22:39,三餐,支出,12,CNY,微信,,,,
qj164545438374015341,2022/2/21 22:39,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164545438863312438,2022/2/21 22:39,三餐,支出,5.5,CNY,微信,,,,
qj164545440124216993,2022/2/21 22:40,其它,收入,200,CNY,微信,,阿林给的,,
qj164545445983414718,2022/2/21 22:40,做饭,支出,2.5,CNY,微信,,低钠盐250g,,
qj164545448326913658,2022/2/21 22:41,做饭,支出,25.8,CNY,微信,,金龙鱼花生油900ml,,
qj164545450341211597,2022/2/21 22:41,做饭,支出,10.8,CNY,微信,,洗洁精1kg,,
qj164545451870018509,2022/2/21 22:41,做饭,支出,4.2,CNY,微信,,板油,,
qj164545467420513041,2022/2/21 22:44,水果,支出,4.5,CNY,微信,,香蕉一斤3.5,,
qj164549412441013141,2022/2/22 9:42,三餐,支出,3,CNY,微信,,,,
qj164549412744911681,2022/2/22 9:42,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164550298214916361,2022/2/22 12:09,三餐,支出,14,CNY,微信,,,,
qj164554048166417433,2022/2/22 22:34,三餐,支出,3,CNY,微信,,,,
qj164554049747214090,2022/2/22 22:34,做饭,支出,8.9,CNY,微信,,火腿肠,,
qj164554051944116609,2022/2/22 22:35,日用品,支出,3.9,CNY,微信,,洗碗布,,
qj164554052752111359,2022/2/22 22:35,做饭,支出,2.5,CNY,微信,,味精,,
qj164554056231315974,2022/2/22 22:36,做饭,支出,2.7,CNY,微信,,米，一斤2.78,,
qj164554057413519244,2022/2/22 22:36,做饭,支出,13.9,CNY,微信,,12个鸡蛋,,
qj164554058135616557,2022/2/22 22:36,做饭,支出,0.6,CNY,微信,,上海青,,
qj164554062180613698,2022/2/22 22:37,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164566027500610251,2022/2/23 7:51,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164566030208512965,2022/2/23 7:51,做饭,支出,7.3,CNY,微信,,梅花肉,,
